Section_EN;SubSection_EN;Section_PL;SubSection_PL;Product_EN;Product_PL;Product_CHI;Price
BROTHS;N/A;BULIONY;N/A;N/A;N/A;;N/A
BROTHS;SIZES;BULIONY;ROZMIARY;N/A;N/A;;N/A
BROTHS;SIZES;BULIONY;ROZMIARY;SMALL BROTH 1 PERSON; BULION MAŁY 1 OS.;;18 PLN
BROTHS;SIZES;BULIONY;ROZMIARY;LARGE BROTH >2 PEOPLE; BULION DUŻY 2-6 OS.;; 38 PLN
BROTHS;SIZES;BULIONY;ROZMIARY;SAUCE 1 PERSON;SOSY;;N/A
BROTHS;FLAVORS;BULIONY;SMAKI;SPICY BROTH;BULION OSTRY;;N/A
BROTHS;FLAVORS;BULIONY;SMAKI; SPICY SOUR BROTH;BULION OSTRO KWAŚNY;;N/A
BROTHS;FLAVORS;BULIONY;SMAKI; MUSHROOMS BROTH; BULION GRZYBOWY;;N/A
BROTHS;FLAVORS;BULIONY;SMAKI; TOMATO BROTH; BILION POMIDOROWY;;N/A
BROTHS;FLAVORS;BULIONY;SMAKI; TOM YUM KUNG BROTH; BULION TOM YUM KUNG;;N/A
INGREDIENTS;N/A;SKŁADNIKI;N/A;N/A;N/A;;N/A
INGREDIENTS;SEAFOOD;SKŁADNIKI;OWOCE MORZA;N/A;N/A;;N/A
INGREDIENTS;SEAFOOD;SKŁADNIKI;OWOCE MORZA;SQUID;KALMARY;; 35ZŁ
INGREDIENTS;SEAFOOD;SKŁADNIKI;OWOCE MORZA; FISH TOFU; RYBNE TOFU;; 22ZŁ
INGREDIENTS;SEAFOOD;SKŁADNIKI;OWOCE MORZA; CRAB STICKS; PALUSZKI KRABOWE;; 22ZŁ
INGREDIENTS;SEAFOOD;SKŁADNIKI;OWOCE MORZA; FISH SLICES; PLASTRY RYBY;; 28ZŁ
INGREDIENTS;SEAFOOD;SKŁADNIKI;OWOCE MORZA; COCKTAIL SHRIMP; KREWETKI KOKTAJLOWE;; 35ZŁ
INGREDIENTS;SEAFOOD;SKŁADNIKI;OWOCE MORZA; SHRIMP MINCE WIRH ROE; MIELONKA Z KREWETKI Z IKRA;; 38ZŁ
INGREDIENTS;SEAFOOD;SKŁADNIKI;OWOCE MORZA; SHRIMP; KERWETKI CAŁE;;56ZŁ
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA;N/A;N/A;;N/A
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA;MUN MUSHROOMS;GRZYBY MUN;;22 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; FRESH SHITAKE; ŚWIEŻE SHITAKE;; 22 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; SHIMEJI MUSHROOMS;GRZYBY SHIMEJI;; 22 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; KING OYSTER MUSHROOM; BOCZNIAK MIKOŁAJKOWY;; 17 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; CORDYCEPS; KWIAT KORDYCEPSU;; 15 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; ENOKI MUSHROOMS; GRZYBY ENOKI;; 15 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; CHINESE CABBAGE; KAPUSTA PEKIŃSKA;; 22 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; CORN; KUKURYDZA;; 22 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; BAMBOO; BAMBUS;; 25 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; BEAN SPROUTS; KIEŁKI FASOLI;; 16 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; SEAWEED; ALGI MORSKIE;; 18 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; SPINACH; SZPINAK;; 25 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; WATER SPINACH; SZPINAK WODNY;; 16 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; WHITE RADISH; RZODKIEW BIAŁA;; 12 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; CHRYSANTHEMUM LEAVES; LIŚCIE CHRYZANTEMY;; 15 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; LETTUCE; SAŁATA;; 25 PLN
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; POTATO SLICES; ZIEMNIAKI W PLASTERKACH;;15ZŁ
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; LOTUS ROOT; KORZEŃ LOTUSA;; 25ZŁ
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; TARO SLICES; PLASTRY TARO;; 22ZŁ
INGREDIENTS;VEGETABLES;SKŁADNIKI;WARZYWA; PAK CHOI; PAK CHOI;; 25ZŁ
INGREDIENTS;MEAT;SKŁADNIKI;MIĘSA;N/A;N/A;;N/A
INGREDIENTS;MEAT;SKŁADNIKI;MIĘSA;LAMB;BARANINA;;46ZŁ
INGREDIENTS;MEAT;SKŁADNIKI;MIĘSA; BEEF; WOŁOWINA;; 43ZŁ
INGREDIENTS;MEAT;SKŁADNIKI;MIĘSA; BLACK TRIPE; FLAKI CZANE;; 48ZŁ
INGREDIENTS;MEAT;SKŁADNIKI;MIĘSA; WHITE TRIPE; FLAKI BIAŁE;; 38ZŁ
INGREDIENTS;MEAT;SKŁADNIKI;MIĘSA; TONGUE; OZOR;; 46ZŁ
